time	V(n004)
4.097425440954707e-002	4.898294e-001
4.104658981507810e-002	4.394409e-001
4.119126062614018e-002	3.332300e-001
4.148060224826434e-002	1.190398e-001
4.155293765379538e-002	6.531173e-002
4.157102150517814e-002	5.192736e-002
4.160718920794366e-002	2.533201e-002
4.161139227568152e-002	2.231251e-002
4.161979841115726e-002	1.652167e-002
4.162692859455328e-002	1.196849e-002
4.163143046064615e-002	9.563209e-003
4.163451243615993e-002	8.389029e-003
4.163738799926474e-002	7.836458e-003
4.164034116335389e-002	7.863011e-003
4.164190541877376e-002	8.229159e-003
4.164352566722568e-002	8.982863e-003
4.164557106390795e-002	1.029069e-002
4.164727216193064e-002	1.157859e-002
4.165150552369667e-002	1.502611e-002
4.165461229303166e-002	1.729228e-002
4.165744069009657e-002	1.938215e-002
4.166433728974439e-002	2.455117e-002
4.167123388939222e-002	2.970785e-002
4.167813048904003e-002	3.485218e-002
4.168502708868785e-002	3.998416e-002
4.169192368833567e-002	4.510381e-002
4.169882028798349e-002	5.021111e-002
4.170571688763131e-002	5.530606e-002
4.173071417136481e-002	7.382967e-002
4.178070873883181e-002	1.108400e-001
4.188069787376581e-002	1.846825e-001
4.203417373627476e-002	2.975146e-001
4.231082892561065e-002	4.984152e-001
4.257799317254009e-002	6.868364e-001
4.285942779249907e-002	8.744596e-001
4.342229703241701e-002	1.207688e+000
4.437670386444854e-002	1.667278e+000
4.493649850754768e-002	1.862507e+000
4.524555520934841e-002	1.930216e+000
4.551347382962097e-002	1.963844e+000
4.577112859467918e-002	1.976184e+000
4.606020940247823e-002	1.965770e+000
4.645258610159795e-002	1.909302e+000
4.708814948009998e-002	1.730628e+000
4.787827306359516e-002	1.391660e+000
4.856845675632172e-002	1.000474e+000
4.927200269170513e-002	5.346639e-001
4.959509773844605e-002	3.051846e-001
4.969444960349583e-002	2.321279e-001
4.982691875689554e-002	1.343765e-001
4.995048993422187e-002	4.310045e-002
4.996465293584990e-002	3.271751e-002
4.999340855826672e-002	1.191971e-002
4.999915032657408e-002	8.444969e-003
5.000130864688190e-002	7.314321e-003
5.000484278759369e-002	5.835390e-003
5.000849183818810e-002	4.855633e-003
5.001394132250645e-002	4.067677e-003
5.001533993644088e-002	3.989839e-003
5.001720475502013e-002	3.903620e-003
5.001788339750964e-002	3.870824e-003
5.001856058613276e-002	3.839037e-003
5.001898500867279e-002	3.819189e-003
5.001926783905813e-002	3.802440e-003
5.001961868025866e-002	3.774903e-003
5.001986945564711e-002	3.751868e-003
5.002002305987025e-002	3.737398e-003
5.002020984819581e-002	3.721370e-003
5.002040613799143e-002	3.707343e-003
5.002059607184921e-002	3.696866e-003
5.002076493428684e-002	3.690179e-003
5.002115962809668e-002	3.683409e-003
5.002172878856797e-002	3.704318e-003
5.002334084023027e-002	3.872352e-003
5.002450819834312e-002	4.116768e-003
5.002574629331229e-002	4.835362e-003
5.002654255721584e-002	6.137895e-003
5.002709365162947e-002	8.327844e-003
5.002759834509877e-002	1.202361e-002
5.002822786873526e-002	1.800793e-002
5.002847554513990e-002	2.016718e-002
5.002864006191531e-002	2.117997e-002
5.002884899657291e-002	2.197150e-002
5.002906888375872e-002	2.239960e-002
5.002933410013677e-002	2.257307e-002
5.002980586097556e-002	2.257921e-002
5.003037123717640e-002	2.276887e-002
5.003632689960938e-002	2.730257e-002
5.004228256204236e-002	3.181896e-002
5.004823822447534e-002	3.631803e-002
5.005419388690832e-002	4.079980e-002
5.006014954934130e-002	4.526424e-002
5.006610521177428e-002	4.971138e-002
5.007206087420726e-002	5.414119e-002
5.010080842079337e-002	7.563134e-002
5.015830351396559e-002	1.185368e-001
5.027329370031004e-002	2.040532e-001
5.043141633705148e-002	3.208180e-001
5.064711034548081e-002	4.771245e-001
5.107849836233947e-002	7.718356e-001
5.194127439605679e-002	1.287065e+000
5.281658174342106e-002	1.704012e+000
5.324740677474022e-002	1.849411e+000
5.356221023605106e-002	1.918126e+000
5.382606850478588e-002	1.953003e+000
5.408452353247489e-002	1.966677e+000
5.438612733719054e-002	1.957008e+000
5.477386128539891e-002	1.902311e+000
5.540204986737341e-002	1.719088e+000
5.640050624489840e-002	1.247976e+000
5.764372719988342e-002	4.881065e-001
5.771145869700787e-002	4.411336e-001
5.784692169125676e-002	3.417315e-001
5.811784767975454e-002	1.412997e-001
5.818557917687899e-002	9.097300e-002
5.820251205116010e-002	7.838980e-002
5.823637779972232e-002	5.329687e-002
5.827051408063060e-002	2.809806e-002
5.827482552275792e-002	2.497667e-002
5.828344840701256e-002	1.892842e-002
5.829269240979595e-002	1.282059e-002
5.829789615277984e-002	9.903813e-003
5.830135099337202e-002	8.490295e-003
5.830413519307650e-002	7.866679e-003
5.830702147046470e-002	7.791290e-003
5.830866532132629e-002	8.102210e-003
5.831029943890859e-002	8.787660e-003
5.831242928604308e-002	1.009398e-002
5.831458183665580e-002	1.170976e-002
5.831898207469043e-002	1.528018e-002
5.832243014796746e-002	1.776605e-002
5.833113375839259e-002	2.428476e-002
5.833983736881773e-002	3.078828e-002
5.834854097924286e-002	3.727662e-002
5.835724458966800e-002	4.374977e-002
5.836594820009313e-002	5.020774e-002
5.837465181051826e-002	5.665053e-002
